BOROUGH,ZIP_CODE,RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,max_temp_celsius,season
4,11385,1,749.00,1925,1,A0,410000.00,2016-12-13,,autumn
4,11361,1,830.00,1945,1,A0,870000.00,2017-03-31,,spring
5,10314,1,840.00,1945,1,A0,550000.00,2017-05-24,,spring
4,11411,1,840.00,1960,1,A0,170000.00,2017-07-11,,summer
5,10314,1,840.00,1955,1,A0,490000.00,2017-01-13,,winter
4,11426,1,864.00,1940,1,A0,565000.00,2017-08-07,,summer
5,10302,1,869.00,1945,1,A2,540000.00,2017-02-13,,winter
4,11426,1,876.00,1945,1,A0,499000.00,2017-03-06,,winter
4,11420,1,879.00,1930,1,A0,485000.00,2016-12-27,,winter
5,10314,1,880.00,1955,1,A0,649000.00,2017-07-06,,summer
4,11411,1,900.00,1945,1,A0,400000.00,2016-12-08,,autumn
5,10302,1,900.00,1955,1,A2,545000.00,2016-09-01,,summer
4,11004,1,930.00,1950,1,A0,625000.00,2017-04-13,,spring
4,11365,1,943.00,1950,1,A0,655000.00,2016-09-15,,summer
4,11365,1,945.00,1955,1,A0,793000.00,2017-01-23,,winter
4,11365,1,945.00,1955,1,A0,600000.00,2016-09-13,,summer
4,11365,1,945.00,1955,1,A0,690000.00,2016-09-15,,summer
4,11365,1,945.00,1955,1,A0,713800.00,2016-10-07,,autumn
4,11365,1,945.00,1955,1,A0,800000.00,2016-11-01,,autumn
4,11358,1,954.00,1945,1,A0,565000.00,2017-02-24,,winter
4,11436,1,960.00,1955,1,A0,425000.00,2016-09-01,,summer
4,11436,1,960.00,1955,1,A0,400000.00,2017-03-24,,spring
5,10314,1,960.00,1955,1,A0,400000.00,2017-06-08,,spring
4,11001,1,960.00,1945,1,A0,520000.00,2017-08-16,,summer
5,10314,1,960.00,1945,1,A2,509000.00,2016-12-20,,autumn
4,11426,1,964.00,1955,1,A0,560000.00,2016-12-12,,autumn
4,11004,1,969.00,1950,1,A0,612850.00,2017-06-13,,spring
4,11436,1,975.00,1950,1,A0,480000.00,2016-12-22,,winter
4,11360,1,975.00,1955,1,A0,680000.00,2017-08-02,,summer
4,11360,1,975.00,1950,1,A0,780000.00,2016-12-22,,winter
4,11360,1,975.00,1950,1,A0,680000.00,2017-07-07,,summer
4,11357,1,985.00,1950,1,A0,750000.00,2016-09-29,,autumn
4,11357,1,985.00,1950,1,A0,750000.00,2017-03-10,,winter
4,11434,1,990.00,1950,1,A0,330000.00,2016-10-14,,autumn
4,11040,1,990.00,1950,1,A0,613000.00,2017-04-20,,spring
4,11420,1,996.00,1930,1,A0,450000.00,2016-09-30,,autumn
4,11420,1,996.00,1925,1,A0,465000.00,2017-07-27,,summer
4,11426,1,996.00,1955,1,A0,450000.00,2016-12-13,,autumn
4,11004,1,996.00,1950,1,A2,595000.00,2016-10-17,,autumn
4,11436,1,998.00,1945,1,A0,285000.00,2017-03-15,,winter
4,11355,1,1000.00,1950,1,A0,999000.00,2016-10-06,,autumn
4,11004,1,1000.00,1950,1,A2,385000.00,2016-11-23,,autumn
4,11004,1,1000.00,1950,1,A0,530000.00,2017-06-07,,spring
4,11361,1,1008.00,1955,1,A0,820000.00,2017-05-26,,spring
4,11365,1,1010.00,1945,1,A0,835000.00,2016-09-12,,summer
5,10306,1,1013.00,1955,1,A0,485000.00,2016-09-12,,summer
5,10314,1,1014.00,1945,1,A0,531000.00,2017-02-03,,winter
4,11433,1,1016.00,1955,1,A0,595000.00,2016-09-08,,summer
4,11001,1,1020.00,1955,1,A0,590000.00,2017-02-16,,winter
4,11004,1,1020.00,1945,1,A0,640000.00,2017-07-26,,summer
4,11004,1,1020.00,1950,1,A0,634950.00,2017-04-25,,spring
4,11001,1,1020.00,1955,1,A0,540000.00,2017-05-10,,spring
4,11040,1,1023.00,1950,1,A2,602000.00,2016-09-02,,summer
4,11357,1,1025.00,1950,1,A0,840000.00,2017-08-28,,summer
4,11436,1,1031.00,1945,1,A0,480000.00,2016-10-03,,autumn
4,11436,1,1031.00,1950,1,A0,480000.00,2016-12-02,,autumn
4,11040,1,1031.00,1950,1,A0,670000.00,2017-05-11,,spring
4,11004,1,1035.00,1950,1,A0,540000.00,2017-05-19,,spring
4,11429,1,1038.00,1945,1,A0,555000.00,2017-06-16,,spring
4,11429,1,1038.00,1945,1,A0,180000.00,2017-02-13,,winter
5,10314,1,1040.00,1945,1,A2,514999.00,2016-09-19,,summer
4,11357,1,1040.00,1955,1,A0,800000.00,2016-11-03,,autumn
4,11004,1,1040.00,1950,1,A0,600000.00,2017-06-06,,spring
5,10314,1,1042.00,1925,1,A0,425000.00,2017-03-01,,winter
4,11360,1,1043.00,1960,1,A0,895000.00,2017-08-28,,summer
5,10310,1,1043.00,1915,1,A0,499900.00,2017-05-15,,spring
4,11414,1,1048.00,1950,1,A0,510000.00,2016-10-26,,autumn
4,11001,1,1049.00,1955,1,A0,601000.00,2017-04-28,,spring
4,11429,1,1050.00,1950,1,A0,495000.00,2016-12-09,,autumn
4,11426,1,1061.00,1955,1,A0,562000.00,2016-11-07,,autumn
4,11357,1,1062.00,1945,1,A0,741500.00,2017-01-18,,winter
4,11357,1,1062.00,1945,1,A0,690000.00,2016-11-03,,autumn
4,11420,1,1063.00,1945,1,A0,560000.00,2017-02-13,,winter
4,11434,1,1063.00,1950,1,A0,390000.00,2017-06-01,,spring
4,11040,1,1063.00,1950,1,A0,625000.00,2017-04-14,,spring
4,11004,1,1063.00,1950,1,A2,550000.00,2016-09-28,,autumn
4,11691,1,1069.00,1950,1,A0,360000.00,2017-01-25,,winter
4,11354,1,1070.00,1935,1,A0,849000.00,2017-02-16,,winter
4,11363,1,1073.00,1955,1,A0,685000.00,2017-02-16,,winter
4,11363,1,1073.00,1955,1,A0,775000.00,2017-04-03,,spring
4,11363,1,1073.00,1955,1,A0,730000.00,2017-06-30,,summer
4,11358,1,1075.00,1950,1,A0,717000.00,2016-11-08,,autumn
4,11364,1,1075.00,1940,1,A0,825000.00,2017-05-15,,spring
4,11004,1,1076.00,1955,1,A2,500000.00,2017-01-31,,winter
4,11355,1,1080.00,1945,1,A0,930000.00,2017-01-24,,winter
4,11429,1,1080.00,1945,1,A0,300000.00,2016-12-19,,autumn
4,11004,1,1080.00,1950,1,A2,602000.00,2016-11-16,,autumn
5,10301,1,1083.00,1939,1,A0,530450.00,2017-02-27,,winter
5,10314,1,1090.00,1955,1,A0,650000.00,2017-05-08,,spring
4,11365,1,1092.00,1950,1,A0,725000.00,2016-11-18,,autumn
4,11357,1,1093.00,1950,1,A0,798000.00,2017-04-17,,spring
4,11004,1,1094.00,1950,1,A0,450000.00,2017-07-31,,summer
4,11411,1,1095.00,1945,1,A0,367094.00,2016-12-15,,autumn
4,11004,1,1096.00,1950,1,A2,600000.00,2016-11-02,,autumn
4,11358,1,1100.00,1939,1,A0,792000.00,2017-06-20,,spring
4,11004,1,1100.00,1950,1,A2,600000.00,2017-02-16,,winter
4,11004,1,1100.00,1950,1,A0,670000.00,2017-05-01,,spring
4,11361,1,1102.00,1945,1,A0,820000.00,2017-02-08,,winter
4,11365,1,1105.00,1950,1,A0,988888.00,2017-04-03,,spring
4,11361,1,1106.00,1950,1,A0,700000.00,2017-04-17,,spring
4,11426,1,1107.00,1945,1,A0,555000.00,2016-11-29,,autumn
4,11360,1,1108.00,1945,1,A0,705000.00,2016-10-14,,autumn
5,10306,1,1112.00,1950,1,A0,262500.00,2017-05-03,,spring
5,10309,1,1112.00,1965,1,A0,553000.00,2017-03-22,,spring
4,11364,1,1112.00,1955,1,A0,1125000.00,2017-03-31,,spring
4,11004,1,1112.00,1945,1,A2,195000.00,2017-01-24,,winter
4,11364,1,1114.00,1950,1,A0,820000.00,2017-02-22,,winter
4,11004,1,1116.00,1950,1,A0,645000.00,2017-03-28,,spring
4,11004,1,1116.00,1950,1,A2,531000.00,2016-10-28,,autumn
4,11004,1,1116.00,1950,1,A2,575000.00,2017-01-16,,winter
4,11420,1,1120.00,1945,1,A0,445000.00,2017-01-11,,winter
5,10304,1,1120.00,1945,1,A0,410000.00,2017-07-07,,summer
4,11366,1,1120.00,1950,1,A0,808500.00,2016-12-29,,winter
4,11366,1,1120.00,1950,1,A0,725000.00,2017-04-05,,spring
4,11355,1,1122.00,1950,1,A0,850000.00,2017-02-28,,winter
4,11411,1,1125.00,1945,1,A0,460000.00,2016-09-12,,summer
4,11420,1,1125.00,1945,1,A0,410000.00,2016-10-28,,autumn
4,11434,1,1125.00,1945,1,A0,366425.00,2017-06-21,,summer
4,11434,1,1125.00,1945,1,A0,320000.00,2016-10-18,,autumn
4,11429,1,1125.00,1950,1,A0,475000.00,2016-12-14,,autumn
4,11364,1,1125.00,1950,1,A0,870000.00,2016-12-23,,winter
5,10309,1,1125.00,1945,1,A0,520000.00,2017-07-26,,summer
4,11365,1,1130.00,1940,1,A0,715000.00,2016-12-12,,autumn
4,11360,1,1135.00,1950,1,A0,755000.00,2017-07-07,,summer
4,11361,1,1136.00,1950,1,A0,725000.00,2017-04-26,,spring
4,11001,1,1136.00,1925,1,A9,475000.00,2016-09-30,,autumn
4,11423,1,1136.00,1945,1,A0,910000.00,2017-06-08,,spring
5,10305,1,1138.00,1965,1,A0,640000.00,2017-01-12,,winter
4,11366,1,1139.00,1945,1,A0,935000.00,2017-06-22,,summer
4,11362,1,1140.00,1955,1,A0,790000.00,2017-05-30,,spring
4,11004,1,1140.00,1950,1,A0,575000.00,2017-08-15,,summer
4,11423,1,1140.00,1945,1,A0,211732.00,2016-12-20,,autumn
4,11429,1,1143.00,1945,1,A0,465000.00,2017-01-04,,winter
4,11429,1,1143.00,1945,1,A0,470000.00,2017-02-03,,winter
4,11357,1,1146.00,1950,1,A0,780000.00,2016-10-17,,autumn
4,11365,1,1147.00,1945,1,A0,830000.00,2017-07-31,,summer
4,11360,1,1148.00,1945,1,A0,860000.00,2017-07-31,,summer
4,11365,1,1148.00,1945,1,A0,780000.00,2016-12-05,,autumn
4,11365,1,1156.00,1945,1,A0,767000.00,2016-12-16,,autumn
4,11357,1,1160.00,1925,1,A0,730000.00,2016-11-22,,autumn
4,11429,1,1163.00,1945,1,A0,469000.00,2017-08-24,,summer
4,11358,1,1166.00,1950,1,A0,700000.00,2016-11-17,,autumn
4,11358,1,1166.00,1950,1,A0,785000.00,2016-12-30,,winter
4,11358,1,1166.00,1950,1,A0,715000.00,2017-03-31,,spring
4,11364,1,1168.00,1945,1,A0,750000.00,2017-06-16,,spring
4,11365,1,1169.00,1945,1,A0,835000.00,2016-09-20,,summer
4,11357,1,1170.00,1960,1,A0,755000.00,2016-12-14,,autumn
4,11413,1,1170.00,1945,1,A0,480000.00,2017-02-16,,winter
4,11004,1,1170.00,1950,1,A0,490000.00,2017-03-21,,winter
4,11004,1,1170.00,1950,1,A2,578000.00,2016-10-25,,autumn
4,11364,1,1173.00,1945,1,A0,810000.00,2016-09-26,,autumn
4,11004,1,1173.00,1945,1,A2,590000.00,2016-11-02,,autumn
4,11358,1,1179.00,1945,1,A0,900000.00,2017-07-31,,summer
4,11358,1,1179.00,1945,1,A0,878000.00,2017-06-16,,spring
4,11411,1,1181.00,1950,1,A0,475000.00,2017-02-23,,winter
4,11365,1,1182.00,1950,1,A0,862800.00,2017-08-04,,summer
4,11004,1,1183.00,1950,1,A0,610000.00,2017-07-31,,summer
4,11365,1,1185.00,1945,1,A0,896500.00,2016-11-15,,autumn
4,11004,1,1186.00,1950,1,A0,325000.00,2017-03-22,,spring
4,11411,1,1188.00,1945,1,A0,486000.00,2016-09-01,,summer
4,11362,1,1188.00,1950,1,A0,820000.00,2017-07-19,,summer
4,11362,1,1188.00,1950,1,A0,800000.00,2016-12-15,,autumn
4,11357,1,1197.00,1955,1,A0,765000.00,2016-10-25,,autumn
4,11362,1,1200.00,1945,1,A0,870000.00,2017-03-02,,winter
4,11364,1,1200.00,1950,1,A0,840000.00,2016-09-16,,summer
4,11364,1,1200.00,1945,1,A0,868000.00,2016-09-28,,autumn
4,11427,1,1200.00,1945,1,A0,635000.00,2017-02-15,,winter
4,11411,1,1205.00,1945,1,A0,345725.00,2016-11-22,,autumn
4,11365,1,1206.00,1950,1,A0,300000.00,2017-03-01,,winter
4,11357,1,1211.00,1945,1,A0,1080000.00,2017-06-22,,summer
4,11356,1,1215.00,1945,1,A0,845000.00,2016-11-16,,autumn
5,10314,1,1225.00,1955,1,A0,540000.00,2017-06-26,,summer
4,11411,1,1225.00,1950,1,A0,470000.00,2017-02-10,,winter
4,11411,1,1225.00,1950,1,A0,256500.00,2017-04-19,,spring
4,11365,1,1225.00,1950,1,A0,215000.00,2017-08-15,,summer
4,11365,1,1225.00,1950,1,A0,850000.00,2016-12-21,,winter
5,10310,1,1230.00,1950,1,A0,510000.00,2017-05-23,,spring
4,11361,1,1230.00,1945,1,A0,948000.00,2017-06-23,,summer
4,11361,1,1233.00,1950,1,A0,888000.00,2016-11-04,,autumn
4,11436,1,1234.00,1940,1,A0,390000.00,2017-01-12,,winter
4,11434,1,1235.00,1950,1,A0,499000.00,2016-12-27,,winter
4,11357,1,1235.00,1940,1,A0,750000.00,2017-04-05,,spring
4,11426,1,1235.00,1950,1,A0,500000.00,2016-11-10,,autumn
4,11411,1,1240.00,1950,1,A0,478000.00,2017-04-25,,spring
4,11427,1,1243.00,1940,1,A0,580000.00,2016-10-14,,autumn
4,11363,1,1243.00,1955,1,A0,750000.00,2016-12-15,,autumn
4,11427,1,1248.00,1945,1,A0,565000.00,2017-05-10,,spring
4,11420,1,1249.00,1950,1,A0,649999.00,2017-03-07,,winter
4,11364,1,1250.00,1950,1,A0,815000.00,2017-01-17,,winter
4,11365,1,1250.00,1945,1,A0,795000.00,2016-10-04,,autumn
4,11004,1,1250.00,1950,1,A0,660000.00,2017-07-07,,summer
4,11426,1,1251.00,1955,1,A0,590000.00,2017-02-06,,winter
4,11361,1,1251.00,1945,1,A0,800000.00,2017-02-27,,winter
4,11004,1,1251.00,1950,1,A0,645000.00,2017-06-28,,summer
4,11364,1,1257.00,1950,1,A0,840000.00,2017-05-15,,spring
4,11355,1,1259.00,1945,1,A0,985000.00,2016-09-01,,summer
4,11001,1,1262.00,1955,1,A2,555000.00,2016-11-28,,autumn
4,11001,1,1268.00,1955,1,A0,525000.00,2017-02-27,,winter
4,11432,1,1269.00,1940,1,A0,735000.00,2017-06-05,,spring
4,11365,1,1272.00,1945,1,A0,860000.00,2017-07-05,,summer
4,11426,1,1274.00,1950,1,A0,310000.00,2017-02-13,,winter
4,11420,1,1275.00,1950,1,A0,730000.00,2016-12-19,,autumn
4,11420,1,1275.00,1950,1,A0,650000.00,2017-05-22,,spring
4,11414,1,1275.00,1950,1,A0,725000.00,2017-05-15,,spring
4,11426,1,1275.00,1950,1,A0,630000.00,2017-07-31,,summer
4,11429,1,1283.00,1945,1,A0,540000.00,2017-05-12,,spring
4,11429,1,1283.00,1945,1,A0,405000.00,2017-01-31,,winter
4,11362,1,1283.00,1950,1,A0,950000.00,2017-03-13,,winter
4,11366,1,1283.00,1945,1,A0,865000.00,2017-07-10,,summer
4,11361,1,1286.00,1950,1,A0,350000.00,2017-06-19,,spring
4,11360,1,1287.00,1950,1,A0,530000.00,2017-01-09,,winter
4,11360,1,1287.00,1950,1,A0,785000.00,2017-02-27,,winter
4,11423,1,1288.00,1950,1,A0,412000.00,2016-12-06,,autumn
